t,C,B,D,L,P,R,drift,shock,C_std_w
--- new run 20251104_145948 ---,,,,,,,,,
111,0.18247678794655953,0.0,0.16653037191691605,0.1324444749099177,0.03657057924999651,0.29180776739159403,-0.0002,0.0,0.06864139629334053
112,0.18565940198604677,0.0,0.158746570167873,0.15155622484640818,0.049489756572489815,0.2980091503548735,-0.0002,0.0,0.07006939086052047
113,0.1959930790603258,0.0,0.17488318361436925,0.18664035460620138,0.07977990136377555,0.3050254918179467,-0.0002,0.0,0.07113491253564161
114,0.19224406461530294,0.0,0.20315952804120985,0.18222271550460836,0.0038043119217665844,0.31634171391116284,-0.0002,0.0,0.07210662352594087
115,0.18772339859556184,0.0,0.16426631063535796,0.16317394873339278,0.0419820472582531,0.30521635328581104,-0.0002,0.0,0.07282100209338284
116,0.20019016517842947,0.008129747632101468,0.21670534954792486,0.21099484161306653,0.038881444783432154,0.2979707226239957,-0.0002,0.0,0.07329714981371714
117,0.19937316168420358,0.0,0.19587160732247713,0.22375559204144962,0.05075336763772156,0.3012778695592145,-0.0002,0.0,0.07341604894385977
118,0.2049374615930981,0.02984404972691776,0.17270056693148172,0.22207329643594567,0.07269065729256592,0.318802246746052,-0.0002,0.0,0.07296840205131004
119,0.20753106484445255,0.061972422998890345,0.18461117913443353,0.21279121976804072,0.08355642510043791,0.2887243908545287,-0.0002,0.0,0.07231956751987956
120,0.19731757092131738,0.012788643052596561,0.20203133256134884,0.21113700978341046,0.09280871389294817,0.23779385993928617,-0.0002,0.0,0.07190291624909648
121,0.1818127634308825,0.00183522231083366,0.184035619149403,0.18521064634131038,0.025158263699074368,0.22774765547517464,-0.0002,0.0,0.0716592304997107
122,0.18763168823854423,0.02875435095581938,0.19546555080531514,0.1671822480513362,0.02471198454956536,0.2504516578823149,-0.0002,0.0,0.07079262576961606
123,0.19360576089920534,0.0,0.19172945440111602,0.18347825246677932,0.04517584330659061,0.3014735640926158,-0.0002,0.0,0.06984951268723777
124,0.2013436107621578,0.034051370372894414,0.20110633944350342,0.19253753265024212,0.0687842037464286,0.28529375425034553,-0.0002,0.0,0.0689713479111059
